player_name,pitcher,events,p_throws,pitch_name,release_speed,hit_distance_sc,launch_speed,launch_angle,bat_score,post_bat_score,delta_run_exp
"Ohtani, Shohei",650895,single,R,Sinker,98.7,109,93.9,5,5,5,0.9
"Ohtani, Shohei",605483,single,L,4-Seam Fastball,95.5,269,94.8,17,0,0,0.9
"Ohtani, Shohei",642232,triple,L,Curveball,72.2,165,90.7,11,3,3,1.6
"Ohtani, Shohei",642232,double,L,Cutter,83.3,354,107.9,17,3,3,1.25
"Ohtani, Shohei",621056,single,R,Slider,86.6,228,81.5,17,5,5,0.9
"Ohtani, Shohei",642232,home_run,L,4-Seam Fastball,88.8,414,110.6,19,0,3,2
"Ohtani, Shohei",628317,home_run,R,Slider,82,416,107.6,21,0,1,2
"Ohtani, Shohei",520980,single,R,Changeup,87.4,239,71.1,27,5,5,0.9
"Ohtani, Shohei",579328,home_run,L,Curveball,75.2,396,106.9,35,5,6,2
"Ohtani, Shohei",605463,double,R,Sinker,94.7,15,108,-10,7,8,1.25
"Ohtani, Shohei",579328,single,L,Slider,85.5,5,79.1,-25,0,0,0.9
"Ohtani, Shohei",571666,single,R,4-Seam Fastball,91.5,185,110.1,11,0,0,0.9
"Ohtani, Shohei",596043,single,R,4-Seam Fastball,91.9,201,112.4,12,3,3,0.9
"Ohtani, Shohei",433589,home_run,R,4-Seam Fastball,88.1,400,104.3,35,5,8,2
"Ohtani, Shohei",593423,home_run,R,Sinker,95.5,388,104.1,34,0,2,2
"Ohtani, Shohei",593423,single,R,Sinker,97.3,7,102.9,-13,0,0,0.9
"Ohtani, Shohei",502190,home_run,R,Sinker,88.6,362,107.2,20,1,2,2
"Ohtani, Shohei",592145,single,L,Slider,88.2,76,81.7,5,2,3,0.9
"Ohtani, Shohei",623913,single,L,Slider,83.9,89,75.2,8,5,5,0.9
"Ohtani, Shohei",593423,single,R,Split-Finger,86.7,11,81.2,-13,4,4,0.9
"Ohtani, Shohei",465657,single,R,4-Seam Fastball,94.7,246,103.4,14,4,6,0.9
"Ohtani, Shohei",642152,single,R,Changeup,89.2,157,85.5,10,5,5,0.9
"Ohtani, Shohei",501985,single,L,Slider,87.6,3,58.7,-25,1,1,0.9
"Ohtani, Shohei",501381,single,R,Changeup,87.9,233,86.7,18,3,3,0.9
"Ohtani, Shohei",596001,home_run,R,4-Seam Fastball,91.2,393,111,39,2,4,2
"Ohtani, Shohei",641745,single,R,4-Seam Fastball,93.1,287,95.7,18,4,4,0.9
"Ohtani, Shohei",543507,single,R,4-Seam Fastball,95,217,100.1,10,3,3,0.9
"Ohtani, Shohei",502043,single,R,Changeup,84.2,63,77.2,4,2,3,0.9
"Ohtani, Shohei",502043,single,R,4-Seam Fastball,96,289,108.5,14,0,0,0.9
"Ohtani, Shohei",621244,home_run,R,4-Seam Fastball,92.5,429,111.6,31,1,3,2
"Ohtani, Shohei",573124,single,L,Curveball,82.8,281,82.8,27,5,5,0.9
