overall_pick,games,points,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game
6,763,9895,0.451,0.284,0.757,13
7,708,8385,0.425,0.379,0.743,11.8
8,483,5917,0.406,0.345,0.739,12.3
9,915,10483,0.471,0.196,0.743,11.5
10,617,3107,0.502,0.071,0.714,5
11,1107,7715,0.425,0.341,0.726,7
12,200,1801,0.46,0.311,0.785,9
13,586,5946,0.424,0.329,0.841,10.1
14,493,4955,0.426,0.292,0.809,10.1
15,827,8017,0.427,0.384,0.799,9.7
16,151,356,0.34,0.305,0.683,2.4
17,827,9301,0.426,0.354,0.821,11.2
18,659,5943,0.43,0.388,0.829,9
19,319,3490,0.455,0.284,0.765,10.9
20,685,5583,0.458,0.441,0.837,8.2
21,821,4715,0.434,0.392,0.848,5.7
